Countryname,lat,lon
Afghanistan,33,65
Africa,23,-25
Albania,41,20
Algeria,28,3
Angola,-13,18
Argentina,11,-34
Asia,8,89
Australia,14,-27
Austria,48,14
Azerbaijan,40.5,48
Bangladesh,20,24
Belarus,53.5,28
Belgium,50.5,4.5
Benin,10,2
Bhutan,27.5,90.5
Bolivia,-17,-64
Botswana,-21.5,23.5
Brazil,-10,-51
Bulgaria,43,25
Burkina Faso,12.5,-2
Burundi,-3.5,29.75
Cambodia,13,105
Cameroon,5.5,12.5
Canada,60,-95
Central African Republic,7,20
Chad,15,19
Chile,-30,-71
China,35,105
Colombia,4,-72
Congo,0,15.5
"Congo, the Democratic Republic of the",0,25
Costa Rica,10,-84
Cote d'Ivoire,8,-5
Croatia,45.75,16.5
Cuba,22,-79
Czech Republic,49.75,15.5
Denmark,56,9.5
Dominican Republic,19,-70
Ecuador,-1,-78
Egypt,27,30
Equatorial Guinea,1.5,10.5
Eritrea,15.75,38
Estonia,58.5,26
Ethiopia,8,38
Europe,54,-20
Finland,65.5,27.5
France,47,3
French Guiana,4,-53
Gabon,0,11.75
Georgia,42,43
Germany,51,9
Ghana,8,-1
Greece,39,22
Guatemala,15.5,-90.25
Guinea,11,-10
Guinea-Bissau,12,-15
Guyana,5,-59
Haiti,19,-72.4167
Hong Kong,22.4,114.2
Hungary,47,20
Iceland,65,-18
India,20,77
Indonesia,-5,120
"Iran, Islamic Republic of",32,53
Iraq,33,44
Ireland,53,-8
Israel,31.75,34.75
Italy,42.8333,12.8333
Jamaica,18,-77
Japan,36,138
Jordan,31.5,36.5
Kazakhstan,48,66
Kenya,1,38
"Korea, Republic of",37,127.5
Kosovo,42.6,20.8
Kuwait,29.45,47.45
Kyrgystan,42,74.5
Laos,20,102
Latvia,57,25
Lebanon,33.8333,35.8333
Liberia,6.5,-9.5
Libyan Arab Jamahiriya,25,17
Lithuania,55.5,23.5
"Macedonia, the former Yugoslav Republic of",41.8333,22
Madagascar,-20,47
Malawi,-13,33.5
Malaysia,2.5,112.5
Mali,18,-3
Mauritania,20,-11
Mexico,23,-102
Middle East,14,60
"Moldova, Republic of",47,29
Mongolia,47,102
Morocco,32,-5
Mozambique,-18.25,35
Myanmar,22,98
Namibia,-22,17
Nepal,28,84
Netherlands,52,5.5
New Zealand,-41,174
Nicaragua,13,-85
Niger,18,10
Nigeria,10,8
North America,38,-68
North Korea,40,126
Norway,61,9
Oman,20,56
Pakistan,30,70
"Palestinian Territory, Occupied",32,35.25
Panama,9.25,-79.5
Papua New Guinea,-6,143
Paraguay,-22,-58
Peru,-9.5,-75
Philippines,13,122
Poland,52,19
Portugal,39.5,-8
Romania,46,25
Russian Federation,60,100
Rwanda,-2,30
Saudi Arabia,25,45
Senegal,14,-14
Serbia,44,21
Sierra Leone,8.5,-11.5
Singapore,1.35,103.8
Slovakia,48.75,19
Somalia,9,49
South Africa,-29,24
South America,8,-48
South Korea,36,128
South Sudan,7,30
Spain,40,-4
Sri Lanka,7,81
Sudan,15,30
Suriname,4,-56
Sweden,62,15
Syrian Arab Republic,35,38
"Taiwan, Province of China",23.5,121
Tajikistan,39,71
Tanzania,-7,35
Thailand,15,100
The Gambia,13.4,-16
Tibet,31.7,87
Togo,8,1.1667
Turkey,39,35
Turkmenistan,40,59
Uganda,1,32
Ukraine,49,32
United Arab Emirates,23.5,54
United Kingdom,54,-2
United States,38,-97
unknown,0,0
Uruguay,-33,-56
Uzbekistan,42,64
"Venezuela, Bolivarian Republic of",8,-66
Vietnam,13,108
World,36,-40
Yemen,16,48
Zambia,-15,30
Zimbabwe,-20,30
